功能ID,功能名称,所属模块,优先级,描述,验收标准
19,组队状态抬显,HUD模块,P0,显示是否在队、连接状态、掉队提醒、领骑/跟骑状态、队内语音状态，不展示复杂成员列表。,HUD显示在队状态、连接状态、掉队提醒、领骑/跟骑状态、队内语音状态；不展示复杂成员列表
20,AI语音反馈,HUD模块,P1,显示唤醒成功、识别中、执行结果，覆盖导航/录制/通话/队伍/降噪/电量查询等任务型指令。,HUD可反馈唤醒成功、识别中、执行结果；支持任务型语音指令反馈
21,后方安全辅助,HUD模块,P1,默认提供后方风险提示；实时后视画面仅在时延/功耗/热设计验证通过后开放。,默认支持后方风险提示；实时后视画面需通过时延、功耗、热设计验证后开放
22,SOS事故处理,HUD模块,P1,疑似事故倒计时、用户取消、触发中状态、成功失败反馈，与App联系人配置联动。,支持事故倒计时、用户取消、触发中状态、成功失败反馈，并与App紧急联系人配置联动
23,安全与异常提醒,HUD模块,P0,覆盖低电量、连接断开、导航失效、录制中断、过热、存储不足等关键异常。,HUD可对低电量、断连、导航失效、录制中断、过热、存储不足等异常进行提醒
24,设备配对激活,App模块,P0,支持BLE搜索、配对绑定、游客/轻账号激活、权限引导与后台保活说明。,支持BLE搜索、设备配对绑定、游客/轻账号激活，并提供权限引导与后台保活说明
25,连接状态中心,App模块,P0,统一展示BLE/HFP/A2DP/Wi‑Fi连接状态与问题诊断入口。,App统一展示BLE、HFP、A2DP、Wi‑Fi连接状态，并提供问题诊断入口
26,路线规划与下发,App模块,P0,支持目的地搜索、多路线选择、历史与收藏地点、轻量导航指令下发HUD。,支持目的地搜索、多路线选择、历史与收藏地点，并可将导航指令下发至HUD
27,视频与照片管理,App模块,P0,支持4K视频列表、下载、删除、导出、关键片段归档与存储状态查看。,支持4K视频列表查看、下载、删除、导出、关键片段归档及存储状态查看
28,音频与降噪设置,App模块,P0,配置ANC、语音降噪、通话优先/音乐优先、环境感知开关与音量策略。,支持ANC、语音降噪、通话优先/音乐优先、环境感知开关及音量策略配置
29,组队骑行管理,App模块,P0,支持创建/加入队伍、成员状态、队内语音、集合点、掉队提醒与领骑设置，基于手机网络实现。,支持创建/加入队伍、查看成员状态、队内语音、集合点、掉队提醒、领骑设置；基于手机网络实现
30,AI助手配置,App模块,P1,配置唤醒词、语言、常用指令与快捷短语，不做开放式聊天入口。,支持配置唤醒词、语言、常用指令和快捷短语；不提供开放式聊天入口
31,OTA升级,App模块,P0,支持固件检测、下载、升级进度、失败回滚提示与升级前风险说明。,支持固件检测、下载、升级进度展示、失败回滚提示及升级前风险说明
32,SOS联系人与紧急设置,App模块,P1,配置紧急联系人、事故通知模板、定位共享与触发条件说明。,支持配置紧急联系人、事故通知模板、定位共享及触发条件说明
33,日志与售后诊断,App模块,P0,支持故障日志上传、连接问题自检、售后导出，降低量产后服务成本。,支持故障日志上传、连接问题自检及售后导出
34,账号与云同步,App模块,P1,支持注册登录、设备绑定、视频/设置/骑行记录云同步；首次使用不强制注册。,支持注册登录、设备绑定、视频/设置/骑行记录云同步；首次使用可不注册
35,骑行记录,App模块,P2,提供基础轨迹与里程记录，不做复杂训练分析与社区内容平台。,支持基础轨迹与里程记录；不包含复杂训练分析和社区内容平台
36,车辆TFT联动,App模块,P2,仅做协议预留，不纳入V1量产承诺，待车厂协议与兼容性锁定。,完成协议预留；V1不承诺量产交付，待车厂协议与兼容性锁定
37,Mesh硬件组网,端云协同模块,P2,V1不作为量产门槛，仅保留架构扩展位，后续视硬件成熟度升级。,V1不要求Mesh硬件组网量产交付；保留架构扩展位供后续升级
