功能ID,功能名称,所属模块,优先级,描述,验收标准
F035,路线概览,头盔HUD系统,V1,显示剩余距离预计时间和下一机动点,导航中可展示路线摘要信息
F036,导航引导,头盔HUD系统,V1,显示转向箭头距离提示偏航提醒到达提示,导航开始后可持续正确引导
F037,设备状态显示,头盔HUD系统,V1,显示电量蓝牙连接录制状态故障状态,状态变化后HUD可及时更新
F038,故障提示,头盔HUD系统,V1,提示传感器异常过热存储异常相机异常,异常发生时可触发对应告警且限频
F039,来电提醒,头盔HUD系统,V1,显示来电人名称或号码并播报,来电时HUD弹窗与语音提醒正常
F040,来电控制,头盔HUD系统,V1,通过按键或语音接听拒接静音,用户操作后通话状态正确变化
F041,消息提醒,头盔HUD系统,V1,显示消息来源摘要及播报状态,新消息到达时可按配置提醒
F042,消息过滤,手机App,V1,支持白名单免打扰及仅重要消息提醒,配置后仅符合规则的消息被提醒
F043,音乐状态,头盔HUD系统,V1,显示播放暂停曲名上下曲音量信息,媒体状态变化时HUD同步更新
F044,音乐控制功能,头盔HUD系统,V1,支持按键或语音控制播放,控制后媒体状态在手机端正确执行
F045,AI语音助手基础版,头盔HUD系统,V1,支持唤醒导航指令设备查询媒体控制,用户可完成基础语音操作
F046,AI语音助手增强版,头盔HUD系统,V2,支持自然语言问答骑行建议多轮对话,用户可进行连续对话并获得结果
F047,主动安全预警提示,头盔HUD系统,V2,提供前向碰撞快速接近偏航危险提醒,风险触发时可输出HUD音频灯效预警
F048,基础安全提醒,头盔HUD系统,V1,提醒低电断连录像异常胎压异常,异常发生时可按优先级提醒
F049,胎温胎压显示,头盔HUD系统,V1,显示实时胎压胎温及异常阈值提醒,接入胎压设备后可稳定显示数据
F050,故障分级,头盔HUD系统,V1,支持一般重要危险三级告警策略,多告警并发时可按等级展示
F051,组队功能,头盔HUD系统,待定,支持骑行组队协同,用户可创建加入退出队伍
F052,显示队友位置,头盔HUD系统,待定,在HUD中显示队友位置,组队后可查看队友相对位置或方向
F053,摄像状态,头盔HUD系统,待定,显示摄像或录像工作状态,录制开始停止异常时HUD有明确提示
F054,录像提示,头盔HUD系统,待定,提供录像中的状态提示,录制中可持续显示录制标识
F055,开机动画,头盔HUD系统,待定,提供设备开机动画展示,开机时可播放完整动画且不影响进入主界面
F056,HUD教程学习引导,头盔HUD系统,待定,提供首次使用教程与学习引导,首次使用时可触发并完成引导流程
F057,手机互联状态,头盔HUD系统,待定,显示与手机连接状态,连接变化时HUD可实时提示
F058,账号状态,头盔HUD系统,待定,显示当前账号登录相关状态,未登录或异常时可提示用户
F059,设备绑定状态,头盔HUD系统,待定,显示设备是否已绑定,未绑定时可提示前往App处理
F060,第三方设备连接状态,头盔HUD系统,待定,显示胎压计等第三方设备连接状态,外设连接断开时可提示
F061,转向箭头显示,头盔HUD系统,购买理由,在HUD显示导航转向箭头,导航过程中箭头方向正确且清晰可读
F062,距离下个路口提示,头盔HUD系统,购买理由,显示距离下个路口或动作的距离,距离信息随导航进程实时更新
F063,当前道路名称或出口名称,头盔HUD系统,购买理由,显示当前道路或出口名称,复杂路口时可正确展示名称
F064,剩余里程与剩余时间,头盔HUD系统,体验加分项,显示导航剩余里程和预计时间,导航中可查看剩余信息
F065,偏航提醒,头盔HUD系统,购买理由,偏离路线时进行提醒,偏航后可在规定时间内触发提醒
F066,重新规划中提示,头盔HUD系统,购买理由,路线重算时提示当前状态,偏航后可显示重新规划中状态
F067,路线概览缩略提示,头盔HUD系统,体验加分项,提供简化路线概览,用户可快速理解整体方向
F068,下一关键节点预览,头盔HUD系统,体验加分项,预览下一关键节点信息,接近关键节点前可显示预览
F069,实时速度显示,头盔HUD系统,购买理由,显示当前实时速度,速度数值刷新及时且清晰
F070,超速提醒,头盔HUD系统,体验加分项,超过设定阈值时提醒用户,超速后可触发提醒且支持阈值配置
F071,前向碰撞风险提示,头盔HUD系统,购买理由,识别前向碰撞风险并提醒,检测到风险时可及时预警
F072,车距过近提醒,头盔HUD系统,购买理由,识别跟车距离过近并提醒,达到触发条件时可输出提醒
F073,盲区或侧后风险提示,头盔HUD系统,待定,识别盲区或侧后方风险并提醒,风险出现时可触发对应预警
